Corps,Attending
7th Regiment,TRUE
The Battalion,FALSE
Blue Devils B,FALSE
Blue Devils C,FALSE
Colt Cadets,TRUE
Columbians,FALSE
Encorps,FALSE
Gold,TRUE
Golden Empire,TRUE
Guardians,TRUE
Heat Wave,TRUE
Impulse,FALSE
Incognito,FALSE
Legends,TRUE
Louisiana Stars,TRUE
Raiders,TRUE
River City Rhythm,TRUE
Shadow,TRUE
Southwind,TRUE
Spartans,TRUE
Vanguard Cadets,FALSE
Vessel,FALSE
Watchmen,FALSE
