Date,Day,Corps,GE,Visual,Music
20180624,4,Blue Knights,26.9,19.4,20.5
20180624,4,Blue Stars,26.4,19.95,19.35
20180624,4,The Academy,25.5,18.75,19.2
20180624,4,Colts,25.1,18.9,19.05
20180624,4,Troopers,25,17.65,18.3
20180624,4,Genesis,23.9,16.45,17.35
20180624,4,Blue Devils B,22.8,18.15,16.7
20180624,4,Vanguard Cadets,22.1,16.8,16.3
20180624,4,Pioneer,19.8,14.65,15.25
20180624,4,Colt Cadets,18.9,13.45,14.7
20180624,4,Blue Devils C,17.1,10.7,11.4
20180625,5,Bluecoats,29.9,22.25,22.05
20180625,5,Carolina Crown,29.4,21.75,22.2
20180625,5,Boston Crusaders,28.3,21.55,21.45
20180625,5,Crossmen,27,19.8,19.95
20180625,5,Phantom Regiment,26.7,20.15,20.1
20180625,5,Madison Scouts,25.6,18.95,19
20180625,5,Pioneer,20,15.05,15.35
20180627,7,The Cavaliers,29.5,22.05,22.35
20180627,7,Phantom Regiment,27.6,21.15,20.625
20180627,7,Blue Stars,26.7,20.4,19.95
20180627,7,Colts,25.2,19.35,19.275
20180627,7,Music City,23.1,17.25,17.025
20180627,7,Genesis,23,18,17.85
20180628,8,Bluecoats,31,22.65,22.8
20180628,8,Boston Crusaders,30.1,21.975,21.6
20180628,8,The Cadets,28.8,21.3,21.3
20180628,8,Spirit of Atlanta,25.5,20.625,19.05
20180628,8,Madison Scouts,24.9,20.25,18.45
20180628,8,Pioneer,21,15.9,14.7
20180629,9,Santa Clara Vanguard,30.1,22.7,22.75
20180629,9,Carolina Crown,30.1,22.4,23.05
20180629,9,The Cavaliers,29.3,22.25,22.75
20180629,9,Phantom Regiment,27.8,20.65,21.3
20180629,9,Blue Knights,27.4,20.4,21.45
20180629,9,Mandarins,27.2,20.75,20.05
20180629,9,Crossmen,27.2,20.4,20.35
20180629,9,Blue Stars,26.6,20.4,20.7
20180629,9,Madison Scouts,26,19.3,19.55
20180629,9,Colts,25.2,19.55,19.45
20180629,9,Troopers,25,18.6,19.4
20180629,9,Pacific Crest,25,18.25,19.1
20180629,9,Genesis,23.6,16.9,17.85
20180629,9,Gold,22.1,17.05,16.6
20180629,9,Golden Empire,20.7,15.7,15.4
20180629,9,Vessel,19.6,14.7,14.05
20180629,9,Impulse,18.9,14.3,14.7
20180629,9,Watchmen,17.9,14.3,14.6
20180629,9,Incognito,16.4,12.6,13.3
20180630,10,Bluecoats,31.4,22.95,23.7
20180630,10,Santa Clara Vanguard,30.8,23.45,23.5
20180630,10,Blue Devils,30.3,23.4,23.3
20180630,10,The Cavaliers,29.2,22.25,22.95
20180630,10,The Cadets,29.1,21.3,22.425
20180630,10,Blue Knights,28.4,20.8,21.85
20180630,10,Mandarins,27.8,21.35,20.55
20180630,10,Phantom Regiment,27.8,20.8,21.7
20180630,10,Spirit of Atlanta,26.8,19.95,19.725
20180630,10,Crossmen,26.8,20.65,20.25
20180630,10,Blue Stars,26.7,20.25,20.5
20180630,10,The Academy,26.5,19.8,20.35
20180630,10,Troopers,25.8,19.05,19.55
20180630,10,Pacific Crest,25.2,18.65,19.2
20180630,10,Colts,24.9,19.6,19.45
20180630,10,Music City,24.5,17.85,18.15
20180630,10,Genesis,23.5,17.65,18
20180630,10,Gold,22.8,17.05,17.15
20180630,10,Golden Empire,21.3,16.7,15.95
20180630,10,Colt Cadets,20.1,13.75,14.75
20180630,10,Impulse,19.8,14.7,15.1
20180630,10,Raiders,19.7,13.8,14.925
20180630,10,Pioneer,19.7,15.7,15.95
20180630,10,Watchmen,19.5,14.8,14.85
20180630,10,Incognito,17.4,12.7,12.85
20180701,11,Bluecoats,31.8,23.5,23.75
20180701,11,Carolina Crown,31.2,22.75,24
20180701,11,Santa Clara Vanguard,31,24,23.8
20180701,11,Boston Crusaders,30.8,22.8,23.25
20180701,11,Blue Devils,30.6,23.75,23.7
20180701,11,The Cavaliers,30.5,22.95,22.35
20180701,11,The Cadets,29.4,21.75,22.65
20180701,11,Phantom Regiment,29.1,21.5,21.3
20180701,11,Blue Knights,28.8,20.95,22.45
20180701,11,Crossmen,28.3,21.3,20.45
20180701,11,Blue Stars,28.2,21.25,20.5
20180701,11,Mandarins,27.8,21.5,21.45
20180701,11,Spirit of Atlanta,27.4,20.6,20.8
20180701,11,Madison Scouts,27,19.55,19.55
20180701,11,The Academy,26.5,20.7,21.1
20180701,11,Colts,26.2,19.7,19.2
20180701,11,Troopers,26,19.65,19.9
20180701,11,Pacific Crest,25.1,19.45,19.75
20180701,11,Genesis,24.1,17.75,18.1
20180701,11,Spartans,23.3,17.95,16.75
20180701,11,Gold,22.6,17.55,17.6
20180701,11,7th Regiment,21.4,16.3,16.1
20180701,11,Golden Empire,20.8,16.6,16.15
20180701,11,Vessel,19.4,15.55,15.45
20180701,11,Impulse,18.8,14.8,15.05
20180701,11,Watchmen,18.3,15.5,15.2
20180701,11,River City Rhythm,18,13.2,16.1
20180701,11,Incognito,16.9,12.65,13.3
20180702,12,Bluecoats,32.1,24.1,24.2
20180702,12,Carolina Crown,31.6,22.95,24.4
20180702,12,Blue Devils,31.5,23.3,23.9
20180702,12,Boston Crusaders,31.1,23.1,23.5
20180702,12,The Cadets,30.4,22.3,23.3
20180702,12,Mandarins,29.1,21.4,21.85
20180702,12,Blue Stars,28.4,21.45,21.2
20180702,12,Spirit of Atlanta,28.2,20.55,20.65
20180702,12,The Academy,28,20.55,21.45
20180702,12,Colts,27.4,20,20
20180702,12,Troopers,26.4,19.6,20.55
20180702,12,Genesis,24.3,18.15,18.8
20180702,12,Spartans,22.6,17.5,17.5
20180702,12,7th Regiment,21.2,15.65,16.35
20180702,12,River City Rhythm,21.1,14.4,15.7
20180702,12,Colt Cadets,20.7,14.5,15.4
20180702,12,Watchmen,20.2,14.9,15.15
20180703,13,Bluecoats,32.4,24.6,24.075
20180703,13,Boston Crusaders,31.5,23.55,24.075
20180703,13,The Cavaliers,31,23.85,23.25
20180703,13,The Cadets,30.5,22.65,23.625
20180703,13,Phantom Regiment,29.1,21.225,22.5
20180703,13,Crossmen,28.4,21.6,22.2
20180703,13,Spirit of Atlanta,26.9,21,21.675
20180703,13,Madison Scouts,26.9,20.25,21
20180703,13,Spartans,24.1,18.3,18.15
20180703,13,7th Regiment,21.8,16.5,17.025
20180703,13,Pioneer,21.1,15.975,15.75
20180703,13,Colt Cadets,19.5,14.85,15.15
20180705,15,Bluecoats,32.8,24.55,24.3
20180705,15,Carolina Crown,32.2,23.8,24.4
20180705,15,Boston Crusaders,31.7,23.75,23.55
20180705,15,The Cadets,30.9,22.45,23.35
20180705,15,Blue Stars,29.6,22.05,22.05
20180705,15,Phantom Regiment,29.3,21.85,22
20180705,15,Spirit of Atlanta,28.6,20.75,21.2
20180705,15,Colts,28.5,20.9,20.6
20180705,15,Madison Scouts,27.5,20.5,21.25
20180705,15,Music City,25,18.8,17.1
20180705,15,Genesis,24.9,18.45,19.4
20180705,15,Pioneer,21.5,16.15,16.3
20180705,15,Raiders,20.4,14.95,13.75
20180705,15,Shadow,17.9,13.35,15
20180706,16,Santa Clara Vanguard,32.5,24.35,24.05
20180706,16,The Cavaliers,32,24.35,24.15
20180706,16,Phantom Regiment,30.4,22.45,22.65
20180706,16,Blue Knights,30.1,21.9,22.05
20180706,16,Mandarins,29.6,22.5,22.125
20180706,16,Crossmen,29.5,22.7,21.75
20180706,16,Colts,28.9,21.75,21.25
20180706,16,The Academy,28.8,21.4,20.8
20180706,16,Madison Scouts,28,21.15,21.55
20180706,16,Troopers,27.2,20.2,20.65
20180706,16,Oregon Crusaders,26.8,18.65,19.65
20180706,16,Vanguard Cadets,26.5,18.9,19.05
20180706,16,Pacific Crest,25.9,19.45,19.65
20180706,16,Blue Devils B,25.8,19.05,18.9
20180706,16,Seattle Cascades,25.5,17.2,18.65
20180706,16,Columbians,22,15.9,16.85
20180706,16,Pioneer,21.8,16.45,16.1
20180706,16,The Battalion,21.1,16.55,16.75
20180706,16,Legends,20.6,15.5,17.7
20180706,16,Shadow,16.9,13.45,15.75
20180706,16,Incognito,16.4,13.35,13.35
20180706,16,Blue Devils C,16.1,13.2,14.475
20180707,17,Bluecoats,33.3,25.05,24.35
20180707,17,Santa Clara Vanguard,33.2,24.8,24.7
20180707,17,Blue Devils,33,24.6,24.1
20180707,17,Carolina Crown,32.6,24.1,24.65
20180707,17,Boston Crusaders,32.5,24.3,24.1
20180707,17,The Cavaliers,32.1,24.35,23.65
20180707,17,The Cadets,31,22.9,23.5
20180707,17,Blue Knights,30.6,22.2,22.8
20180707,17,Phantom Regiment,30.5,22.65,22.1
20180707,17,Blue Stars,30.1,22.7,21.8
20180707,17,The Academy,29.8,22,21.35
20180707,17,Crossmen,29.2,23.05,21.25
20180707,17,Madison Scouts,28.9,21.3,21.05
20180707,17,Colts,28.6,21.9,20.8
20180707,17,Troopers,28.3,20.75,21
20180707,17,Spirit of Atlanta,28.2,21.2,22
20180707,17,Pacific Crest,26,19.7,20
20180707,17,Oregon Crusaders,26,18.2,19.9
20180707,17,Genesis,25.7,18.4,19.2
20180707,17,Seattle Cascades,24.9,16.8,19.05
20180707,17,Music City,24.7,18.6,18.55
20180707,17,Legends,24,15.85,16.75
20180707,17,Jersey Surf,22.8,17.25,17
20180707,17,Columbians,22.7,16.45,17.45
20180707,17,River City Rhythm,22.4,14.8,16.1
20180707,17,The Battalion,21.5,17.95,17.55
20180707,17,Colt Cadets,20.4,14.6,15
20180707,17,Shadow,19.9,13.5,15.15
20180708,18,Bluecoats,33.4,25.1,25.35
20180708,18,Blue Devils,33.4,24.85,24.65
20180708,18,Carolina Crown,32.6,24.45,25.05
20180708,18,Boston Crusaders,32.1,24.95,25.05
20180708,18,The Cadets,31,23.4,24.15
20180708,18,Phantom Regiment,30.9,22.85,22.9
20180708,18,Blue Stars,30.4,23.1,22.65
20180708,18,Crossmen,30,23.45,22.5
20180708,18,Colts,29.3,22.25,21.85
20180708,18,Madison Scouts,29.2,22,22.1
20180708,18,Spirit of Atlanta,28.3,21.55,22
20180708,18,Music City,25.3,18.5,19.35
20180708,18,Genesis,25.2,20.1,19.9
20180708,18,Jersey Surf,22.6,16.7,17.5
20180708,18,River City Rhythm,22.5,16.55,16.7
20180708,18,Pioneer,21.9,16.6,16.2
20180708,18,Legends,21.6,16.65,16.85
20180708,18,Colt Cadets,21.3,15.15,15.4
20180708,18,Heat Wave,19,14.7,15.6
20180708,18,Shadow,17.2,13.85,15.4
20180709,19,Santa Clara Vanguard,33.8,25.5,25.275
20180709,19,Blue Knights,31.1,22.95,23.25
20180709,19,The Academy,30.1,22.5,21.75
20180709,19,Troopers,28.7,21.45,21.15
20180709,19,Pacific Crest,26.1,20.4,20.025
20180709,19,Oregon Crusaders,25.8,19.95,19.725
20180709,19,Seattle Cascades,24.7,17.85,19.05
20180709,19,Columbians,22.4,16.2,18.15
20180709,19,The Battalion,21.9,17.4,17.4
20180710,20,Santa Clara Vanguard,33.8,25.65,24.6
20180710,20,Carolina Crown,32.6,24.65,25
20180710,20,Blue Stars,31.5,23.1,22.95
20180710,20,The Cadets,31.3,23.9,24.05
20180710,20,Mandarins,31.2,24.15,22.5
20180710,20,The Academy,30.5,22.575,22.8
20180710,20,Colts,29.4,22.275,22.05
20180710,20,Troopers,28.9,21.6,22.05
20180710,20,Spirit of Atlanta,28.9,21.95,22.4
20180710,20,Pacific Crest,26.5,20.4,19.8
20180710,20,Genesis,26.5,20.325,20.55
20180710,20,Oregon Crusaders,26.4,20.1,20.25
20180710,20,Music City,25.4,19.05,19.05
20180710,20,Seattle Cascades,25.2,18.825,19.05
20180710,20,Jersey Surf,24.5,18.1,18.4
20180710,20,Louisiana Stars,22.9,16.75,16.9
20180710,20,The Battalion,22.9,18.075,17.7
20180710,20,River City Rhythm,22.9,16.35,16.5
20180710,20,Columbians,22.5,17.4,16.95
20180710,20,Southwind,22.4,15.9,16.55
20180710,20,Guardians,22.1,16.55,16.8
20180710,20,Colt Cadets,20.9,15.675,15.45
20180710,20,Heat Wave,20.4,14.7,14.9
20180711,21,Blue Devils,34.4,25.15,25.25
20180711,21,Santa Clara Vanguard,34.3,25.85,26.1
20180711,21,The Cavaliers,33.7,24.9,24.95
20180711,21,Bluecoats,33.4,25.2,25.4
20180711,21,Boston Crusaders,32.5,25.25,24.9
20180711,21,Phantom Regiment,32,23.45,23.45
20180711,21,Blue Stars,31.5,23.8,23.45
20180711,21,Mandarins,31.5,24.2,22.9
20180711,21,Blue Knights,31.4,23.05,24.5
20180711,21,Crossmen,31.2,23.65,22.6
20180711,21,The Academy,30.3,22.75,23.45
20180711,21,Spirit of Atlanta,29.7,22.1,22.25
20180711,21,Madison Scouts,29.7,21.9,22.55
20180711,21,Troopers,29.4,21.8,22.6
20180711,21,Colts,29.2,22.7,22.4
20180711,21,Pacific Crest,26.9,19.9,20.95
20180711,21,Genesis,26.4,20.45,20.6
20180711,21,Music City,26.2,19.25,19.25
20180711,21,Oregon Crusaders,25.9,20,20.1
20180711,21,Jersey Surf,25.5,18.2,18.1
20180711,21,Seattle Cascades,24.7,18.75,19.55
20180711,21,The Battalion,23.3,17,18.4
20180711,21,Guardians,23.3,16.9,17.2
20180711,21,Columbians,23.2,16.8,17.95
20180711,21,River City Rhythm,22.9,16.45,17.85
20180711,21,Southwind,22.9,16.8,17.4
20180711,21,Louisiana Stars,22.5,16.85,17.45
20180711,21,Legends,22.5,17.25,18.05
20180711,21,Colt Cadets,21,15.95,15.9
20180712,22,Bluecoats,34,25.7,25.6
20180712,22,Boston Crusaders,33.1,25.4,25.2
20180712,22,The Cadets,32.2,24.3,24.2
20180712,22,Spirit of Atlanta,30.8,22.45,22.85
20180712,22,Music City,26.4,19.55,19.6
20180712,22,Jersey Surf,25.9,17.85,18.3
20180712,22,Louisiana Stars,23.8,16.8,17.1
20180712,22,Guardians,23.1,16.9,17.1
20180712,22,Southwind,23.1,16.65,17.1
20180713,23,Troopers,29.8,22.05,22.05
20180713,23,Pacific Crest,27.1,20.625,21.45
20180713,23,Oregon Crusaders,26.2,20.325,20.25
20180713,23,Seattle Cascades,24.2,19.05,19.5
20180713,23,Louisiana Stars,24,17.5,18.05
20180713,23,Guardians,23.7,17.9,18.25
20180713,23,Southwind,23.1,17.15,18.2
20180713,23,Heat Wave,21.5,15.85,16.35
20180714,24,Blue Devils,34.6,26.05,25.7
20180714,24,Santa Clara Vanguard,34.5,26.1,26.05
20180714,24,Bluecoats,34.2,25.65,25.75
20180714,24,The Cavaliers,33.9,25.6,25.35
20180714,24,Carolina Crown,33.4,25.2,25.85
20180714,24,Blue Stars,32.5,24.3,22.95
20180714,24,Blue Knights,31.7,23.25,24.5
20180714,24,Madison Scouts,31.6,22.2,21.9
20180714,24,Crossmen,31.6,23.6,22.45
20180714,24,The Academy,31.4,23.25,23.25
20180714,24,Spirit of Atlanta,30.8,22.95,22.95
20180714,24,Troopers,30.5,22.35,22.4
20180714,24,Colts,30.4,22.6,21.6
20180714,24,Pacific Crest,28,20.8,21.2
20180714,24,Music City,27.4,19.75,19.75
20180714,24,Jersey Surf,26.6,18.85,18.85
20180714,24,Vanguard Cadets,26.5,19.7,19.85
20180714,24,Oregon Crusaders,26.4,20.4,20.4
20180714,24,Blue Devils B,26,19.35,19.75
20180714,24,Guardians,25,18.5,19.4
20180714,24,Louisiana Stars,25,18.2,19.5
20180714,24,Seattle Cascades,24.7,18.65,19.05
20180714,24,Gold,24.5,18.3,18.65
20180714,24,Southwind,24.5,17.6,18.7
20180714,24,Pioneer,24.5,16.7,17.55
20180714,24,The Battalion,23.4,17.8,17.45
20180714,24,Golden Empire,22.5,17.15,17.25
20180714,24,Heat Wave,22.2,16.15,16.4
20180714,24,Vessel,21.4,16.75,15.65
20180714,24,Watchmen,20.8,15.35,14.8
20180714,24,Impulse,20.8,15.2,15.3
20180714,24,Blue Devils C,19.7,12.85,14.2
20180714,24,Incognito,17.8,13.7,13.15
20180715,25,Bluecoats,34.7,26.4,26.025
20180715,25,Blue Devils,34.6,26.65,26.1
20180715,25,Carolina Crown,33.95,25.75,26.225
20180715,25,The Cavaliers,33.6,26.05,25.375
20180715,25,Boston Crusaders,33.35,25.65,25.575
20180715,25,The Cadets,32.65,24.7,24.825
20180715,25,Phantom Regiment,32,24.2,24.238
20180715,25,Blue Stars,31.9,24.65,24.05
20180715,25,Mandarins,31.85,24.25,23.4
20180715,25,Crossmen,30.95,23.55,23.375
20180715,25,Spirit of Atlanta,30.75,22.95,23.15
20180715,25,Madison Scouts,30.45,22.35,22.275
20180715,25,Colts,30.25,22.4,22.4
20180715,25,Music City,27.75,19.45,19.5
20180715,25,Vanguard Cadets,27.2,20.4,20.15
20180715,25,Genesis,27.1,19.4,19.4
20180715,25,Blue Devils B,26.4,20.2,19.55
20180715,25,Legends,26.1,17.6,17.725
20180715,25,Jersey Surf,26.1,18.65,18.85
20180715,25,Gold,24.9,19,18.65
20180715,25,Golden Empire,23.4,17.9,17.55
20180715,25,Vessel,22.5,17.3,16.2
20180715,25,Pioneer,22.25,17.8,17.375
20180715,25,Colt Cadets,21.3,16.05,15.8
20180715,25,Impulse,21.1,15.7,16.25
20180715,25,Watchmen,21.1,15.8,15.05
20180715,25,Shadow,21.05,14.3,17.325
20180715,25,Blue Devils C,19,13.35,14.8
20180715,25,Incognito,17.9,14.05,13.45
20180716,26,Santa Clara Vanguard,35.6,26.25,26.15
20180716,26,Bluecoats,35.1,26.45,25.95
20180716,26,Carolina Crown,34.9,25.95,26.6
20180716,26,The Cadets,33.3,24.75,25
20180716,26,Boston Crusaders,33.1,25.75,25.6
20180716,26,Phantom Regiment,32.8,24.65,24.75
20180716,26,Blue Stars,32.7,24.95,24
20180716,26,Blue Knights,32.3,24.05,24.45
20180716,26,Crossmen,32.3,23.95,24.15
20180716,26,Mandarins,32.2,24.6,23.7
20180716,26,The Academy,32.1,23.4,23.1
20180716,26,Madison Scouts,31.1,22.5,22.55
20180716,26,Spirit of Atlanta,30.7,23.35,23.3
20180716,26,Troopers,29.9,22.35,22.65
20180716,26,Colts,29.8,22.9,22.725
20180716,26,Music City,28.9,19.9,20.45
20180716,26,Pacific Crest,27.7,20.75,21.15
20180716,26,Genesis,27.1,19.6,20
20180716,26,Oregon Crusaders,27,20,20.7
20180716,26,Jersey Surf,26.8,18.85,19.4
20180716,26,Guardians,26.2,19.4,20.25
20180716,26,Seattle Cascades,25.7,18.65,19.65
20180716,26,Pioneer,23.5,18.05,17.55
20180716,26,Colt Cadets,21.7,16.05,16.25
20180717,27,Santa Clara Vanguard,36.4,26.8,27.125
20180717,27,Bluecoats,36.1,26.45,26.5
20180717,27,Blue Devils,36,26.975,26.8
20180717,27,Boston Crusaders,34.7,25.55,25.7
20180717,27,The Cavaliers,34.4,25.85,25.85
20180717,27,Blue Knights,33.6,24.4,25.1
20180717,27,Phantom Regiment,33.2,24.25,24.65
20180720,30,Santa Clara Vanguard,36.3,27.15,27.25
20180720,30,Bluecoats,36.1,27.025,26.6
20180720,30,Blue Devils,35.75,27.1,26.8
20180720,30,Carolina Crown,34.95,26.375,26.775
20180720,30,The Cavaliers,34.55,26.15,26.05
20180720,30,Phantom Regiment,33.55,24.4,24.75
20180720,30,Blue Knights,33.25,24.725,25.3
20180720,30,The Cadets,33,25.35,25.25
20180720,30,Crossmen,32.6,24.4,24.25
20180720,30,Vanguard Cadets,29,21.05,21.3
20180720,30,Blue Devils B,27.9,20.7,20.75
20180720,30,Gold,26.7,19.15,19.25
20180720,30,The Battalion,25.7,18.95,19.25
20180720,30,Golden Empire,25.6,18.25,19
20180720,30,Watchmen,22.8,17,16.95
20180720,30,Vessel,22.4,17.45,16.65
20180720,30,Impulse,21.9,16.8,17.2
20180720,30,Blue Devils C,18.6,14.3,14.45
20180720,30,Incognito,18.5,14.4,14.2
20180721,31,Santa Clara Vanguard,37.25,27.525,27.55
20180721,31,Bluecoats,36.675,27.225,26.775
20180721,31,Blue Devils,36.5,27.375,27.1
20180721,31,Carolina Crown,36.05,26.775,27.262
20180721,31,Boston Crusaders,35.2,26.875,26.175
20180721,31,The Cavaliers,35.15,26.8,26.462
20180721,31,The Cadets,34.45,25.4,25.988
20180721,31,Blue Knights,33.9,24.9,25.4
20180721,31,Phantom Regiment,33.8,25.05,24.875
20180721,31,Blue Stars,33.8,25.65,24.563
20180721,31,Mandarins,33.625,24.95,23.6
20180721,31,Crossmen,32.525,24.45,23.875
20180721,31,The Academy,32.4,23.8,23.525
20180721,31,Madison Scouts,31.8,22.9,22.525
20180721,31,Spirit of Atlanta,31.45,23,23.738
20180721,31,Colts,31,23.45,23.375
20180721,31,Troopers,30.8,22.45,22.8
20180721,31,Vanguard Cadets,29.9,21.5,21.75
20180721,31,Pacific Crest,29.4,21.25,21.525
20180721,31,Blue Devils B,28.8,21.2,21.4
20180721,31,Music City,28.55,21.25,20.7
20180721,31,Oregon Crusaders,28.1,20.5,21.212
20180721,31,Legends,27.4,19.5,21.45
20180721,31,Spartans,27.4,20.25,20.625
20180721,31,Gold,26.8,20,20.6
20180721,31,Genesis,26.75,20.4,20.8
20180721,31,Guardians,26.7,18.95,19.375
20180721,31,Jersey Surf,26.675,19.15,19.45
20180721,31,Seattle Cascades,26.15,19.2,19.825
20180721,31,Golden Empire,26.1,18.55,19.4
20180721,31,The Battalion,26.1,19.25,19.8
20180721,31,7th Regiment,24.6,18.45,18.075
20180721,31,Pioneer,24.5,17.45,18.075
20180721,31,Vessel,24.5,18.1,18.1
20180721,31,Watchmen,23.9,17.85,17.4
20180721,31,Impulse,22.6,16.95,16.95
20180721,31,Blue Devils C,20.3,14.55,14.8
20180721,31,Raiders,19.9,16.35,14.475
20180721,31,Incognito,19.5,14.7,14.25
20180722,32,Spartans,28.1,20.1,20.7
20180722,32,Legends,27.8,19.35,20.7
20180722,32,7th Regiment,24.7,18.45,17.85
20180722,32,Raiders,19.9,16.8,15.45
20180723,33,Santa Clara Vanguard,37.3,27.575,27.55
20180723,33,Bluecoats,37,27.325,27.025
20180723,33,Blue Devils,36.5,27.7,27.175
20180723,33,Carolina Crown,36.1,26.7,27.325
20180723,33,The Cavaliers,35.2,26.575,26.625
20180723,33,The Cadets,34.8,25.7,25.95
20180723,33,Blue Stars,33.7,25.9,24.45
20180723,33,Spirit of Atlanta,33.5,23.8,23.7
20180723,33,The Academy,33.4,23.8,23.95
20180723,33,Crossmen,32.9,24.5,23.95
20180723,33,Troopers,32.2,22.75,22.8
20180723,33,Colts,31.6,23.95,23.65
20180723,33,Pacific Crest,29.5,21.8,22.5
20180723,33,Vanguard Cadets,29.4,21.6,21.75
20180723,33,Music City,28.9,21.35,21.25
20180723,33,Genesis,27.9,20.4,20.65
20180723,33,Seattle Cascades,27,19.15,20.1
20180723,33,Gold,27,20.25,20.55
20180723,33,The Battalion,26.6,19.65,19.5
20180723,33,Louisiana Stars,25.9,19.65,19.25
20180723,33,Watchmen,23.9,17.775,16.95
20180723,33,Impulse,23.1,17.325,17.1
20180724,34,Carolina Crown,36.3,27,27.4
20180724,34,Boston Crusaders,35.9,26.8,26.6
20180724,34,Mandarins,34,25.5,24.45
20180724,34,Madison Scouts,32.2,24,23.3
20180724,34,Gold,27.3,21.15,21
20180724,34,Jersey Surf,26.9,19.6,19.2
20180724,34,The Battalion,26.6,20.625,19.8
20180724,34,Seattle Cascades,26.3,19.65,19.6
20180724,34,Guardians,26.3,20.775,20.7
20180724,34,Pioneer,24.6,18.45,17.35
20180724,34,Watchmen,23.3,18.6,17.55
20180724,34,Impulse,23.1,18.15,17.1
20180725,35,Santa Clara Vanguard,37.2,27.65,27.85
20180725,35,Bluecoats,36.9,27.6,27.225
20180725,35,Blue Devils,36.9,27.95,27.4
20180725,35,The Cavaliers,35.9,26.9,26.9
20180725,35,The Cadets,34.6,25.7,26.1
20180725,35,Mandarins,34.4,25.65,24.35
20180725,35,Spirit of Atlanta,33.8,24.55,24.7
20180725,35,Blue Stars,33.6,26,25.35
20180725,35,Crossmen,33.3,24.65,24.45
20180725,35,Troopers,32.7,23.1,23.5
20180725,35,Madison Scouts,32.7,24,23.4
20180725,35,The Academy,32.6,24.15,24.6
20180725,35,Colts,31.8,24.35,23.95
20180725,35,Pacific Crest,29.7,22.3,22.75
20180725,35,Jersey Surf,28.3,19.5,20.2
20180725,35,Oregon Crusaders,27.9,20.7,21.3
20180725,35,Pioneer,24,18.6,18.6
20180726,36,Blue Knights,35,25.9,26.1
20180726,36,Mandarins,34.2,25.8,24.8
20180726,36,Phantom Regiment,34.1,25.3,25.6
20180726,36,Spirit of Atlanta,33,24.75,24.95
20180726,36,Troopers,32.6,23.75,23.75
20180726,36,Pacific Crest,32.1,22.7,23.05
20180726,36,Music City,30.1,22.2,21.3
20180726,36,Legends,28.3,19.8,20.85
20180726,36,Spartans,28,20.85,20.625
20180726,36,Seattle Cascades,26.9,19.95,20.15
20180726,36,7th Regiment,25.9,19.35,18.225
20180726,36,Southwind,24.9,17.9,17.6
20180726,36,Raiders,23.8,18,15.9
20180727,37,Santa Clara Vanguard,37.45,28.05,27.95
20180727,37,Bluecoats,37.25,27.625,27.425
20180727,37,Blue Devils,37.1,27.9,27.45
20180727,37,Carolina Crown,36.4,26.775,27.825
20180727,37,Boston Crusaders,35.65,26.725,26.675
20180727,37,The Cavaliers,35.65,27,26.675
20180727,37,The Cadets,34.7,25.75,26.1
20180727,37,Blue Knights,33.6,25.35,25.725
20180727,37,Blue Stars,33.6,26.1,25.85
20180727,37,Crossmen,33.3,25.1,24.85
20180727,37,The Academy,32.6,24.25,25.05
