Date,Day,Corps,GE,Visual,Music
20180621,1,Bluecoats,28.7,20.3,21.3
20180621,1,The Cavaliers,28.3,20.15,20.9
20180621,1,Carolina Crown,28.3,20.3,21.4
20180621,1,Boston Crusaders,27.2,19.7,20.4
20180621,1,Phantom Regiment,25.8,18.65,19.55
20180621,1,Blue Stars,25.2,17.95,18.85
20180622,2,Blue Devils,28.4,21.65,21.25
20180622,2,Santa Clara Vanguard,27.9,21.55,21.25
20180622,2,Blue Knights,27,19.7,19.95
20180622,2,Mandarins,25.3,18.95,18.7
20180622,2,The Academy,24.1,18.6,18.85
20180622,2,Troopers,23,17.55,17.5
20180622,2,Blue Devils B,21.5,17.9,16.45
20180622,2,Vanguard Cadets,19.9,16.75,16.05
20180622,2,Blue Devils C,15.6,10.5,10.45
20180623,3,Santa Clara Vanguard,29.3,21.7,21.7
20180623,3,Bluecoats,29.3,21.15,21.15
20180623,3,Blue Devils,28.9,21.75,21.45
20180623,3,Carolina Crown,28.4,20.95,21.25
20180623,3,The Cavaliers,28.2,21.15,21.4
20180623,3,Boston Crusaders,27.6,20.9,20.9
20180623,3,Blue Knights,27.1,19.75,20.2
20180623,3,The Cadets,27,20.1,19.9
20180623,3,Phantom Regiment,26.6,19.1,20
20180623,3,Crossmen,26.2,19.05,18.6
20180623,3,Mandarins,26,19.6,19.15
20180623,3,The Academy,25.2,18.95,19.05
20180623,3,Blue Stars,25,19.35,19.45
20180623,3,Madison Scouts,24.6,18.4,18.45
20180623,3,Troopers,24.5,17.8,17.8
20180623,3,Colts,24.5,18.55,18.15
20180623,3,Genesis,22.7,15.7,17.05
20180623,3,Blue Devils B,22.4,17.45,16.25
20180623,3,Vanguard Cadets,22.3,16.25,16
20180623,3,Pioneer,21.3,14.1,14.5
20180623,3,Colt Cadets,19.7,12.95,13.75
20180623,3,Blue Devils C,15.9,10.7,11.15
20180624,4,Blue Devils,29.1,22.1,21.5
20180624,4,The Cavaliers,29.1,21.4,21.7
20180624,4,Santa Clara Vanguard,29,21.8,21.65
20180624,4,Boston Crusaders,28.3,21.05,21.15
20180624,4,The Cadets,27.2,20.65,20.6
20180624,4,Mandarins,27,19.7,19.5
